0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:35:41 +0100] "GET /AMW-1.0-SNAPSHOT/api/swagger.json HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:24 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/registration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:26 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/registration HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:26 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:26 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:31 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:31 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:36 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:36 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:37 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:37 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:50 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:36:50 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:16 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:16 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:24 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:24 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:29 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:29 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:42 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:37:42 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:09 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:09 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:13 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:13 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:22 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:22 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:22 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:22 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:38 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:38 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:50 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:38:50 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:02 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:02 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:15 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:15 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:31 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:31 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:43 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:39:43 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:40:15 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:40:15 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:40:21 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:40:22 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:41:15 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:41:15 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:41:17 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Feb/2021:06:41:17 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 26
