0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:31 +0100] "GET /AMW-1.0-SNAPSHOT/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:32 +0100] "GET /AMW-1.0-SNAPSHOT/swagger-ui-standalone-preset.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:32 +0100] "GET /AMW-1.0-SNAPSHOT/swagger-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:32 +0100] "GET /AMW-1.0-SNAPSHOT/swagger-ui-bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:34 +0100] "GET /AMW-1.0-SNAPSHOT/api/swagger.json HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:40 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:41 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:41 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:41 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:45 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:45 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:50 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:08:54:50 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:43 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:43 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:45 +0100] "GET /AMW-1.0-SNAPSHOT/api/swagger.json HTTP/1.1" 200 4738
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:47 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:47 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:47 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:30:47 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:31:04 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:31:04 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:31:58 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:31:58 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:03 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:03 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/logout HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:08 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:08 +0100] "POST /AMW-1.0-SNAPSHOT/api/AMW/login HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:08 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:08 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:23 +0100] "OPTIONS /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Feb/2021:09:32:24 +0100] "GET /AMW-1.0-SNAPSHOT/api/AMW/userinfo HTTP/1.1" 200 448
